Run_number: 4218 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4219 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 4220 | Ap_exp: 0.714286 | errAexp: 0.26452
Run_number: 4223 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 4224 | Ap_exp: 0.777778 | errAexp: 0.209513
Run_number: 4230 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4231 | Ap_exp: 0.333333 | errAexp: 0.205738
Run_number: 4233 | Ap_exp: 0.142857 | errAexp: 0.21598
Run_number: 4234 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 4236 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 4251 | Ap_exp: 0.333333 | errAexp: 0.222222
Run_number: 4252 | Ap_exp: 0 | errAexp: 0.204124
Run_number: 4253 | Ap_exp: -0.555556 | errAexp: 0.27716
Run_number: 4254 | Ap_exp: -0.111111 | errAexp: 0.234243
Run_number: 4256 | Ap_exp: 0.2 | errAexp: 0.195959
Run_number: 4257 | Ap_exp: 0.466667 | errAexp: 0.22836
Run_number: 4258 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 4260 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 4261 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 4262 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 4263 | Ap_exp: -0.529412 | errAexp: 0.205759
Run_number: 4264 | Ap_exp: 0.5 | errAexp: 0.433013
Run_number: 4265 | Ap_exp: 0.125 | errAexp: 0.248039
Run_number: 4266 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4273 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 4274 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 4275 | Ap_exp: 0.5 | errAexp: 0.25
Run_number: 4284 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 4285 | Ap_exp: 0.285714 | errAexp: 0.25612
Run_number: 4286 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 4288 | Ap_exp: 0 | errAexp: 0.408248
