Run_number: 2628 | Ap_exp: 1 | errAexp: 0
Run_number: 3222 | Ap_exp: -0.0555556 | errAexp: 0.0339681
Run_number: 3223 | Ap_exp: 0.0643777 | errAexp: 0.037745
Run_number: 3224 | Ap_exp: -0.0384615 | errAexp: 0.0800048
Run_number: 3225 | Ap_exp: 0.0371429 | errAexp: 0.0377704
Run_number: 3226 | Ap_exp: 0.0503778 | errAexp: 0.0354436
Run_number: 3227 | Ap_exp: -0.159091 | errAexp: 0.105243
Run_number: 3228 | Ap_exp: -0.0299572 | errAexp: 0.0377525
Run_number: 3229 | Ap_exp: 0.00307692 | errAexp: 0.039223
Run_number: 3230 | Ap_exp: -0.0220264 | errAexp: 0.0383108
Run_number: 3231 | Ap_exp: 0.153846 | errAexp: 0.0732425
Run_number: 3239 | Ap_exp: -0.030303 | errAexp: 0.100458
Run_number: 3240 | Ap_exp: 0.00291545 | errAexp: 0.0539947
Run_number: 3241 | Ap_exp: 0.0575916 | errAexp: 0.0510795
Run_number: 3242 | Ap_exp: -0.0346821 | errAexp: 0.053728
Run_number: 3243 | Ap_exp: 0.010453 | errAexp: 0.0590249
Run_number: 3244 | Ap_exp: -0.0338983 | errAexp: 0.0531189
Run_number: 3245 | Ap_exp: 0.0331126 | errAexp: 0.0469583
Run_number: 3246 | Ap_exp: -0.0854271 | errAexp: 0.0499422
Run_number: 3247 | Ap_exp: 0.052381 | errAexp: 0.048728
Run_number: 3248 | Ap_exp: 0.0216216 | errAexp: 0.0519754
Run_number: 3249 | Ap_exp: -0.0990991 | errAexp: 0.0944486
