Run_number: 3510 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3810 Nplus : 3 Nminus : 5 | Aexp: -0.25 | errAexp: 0.342327
Run_number: 3811 Nplus : 3 Nminus : 1 | Aexp: 0.5 | errAexp: 0.433013
Run_number: 3812 Nplus : 4 Nminus : 1 | Aexp: 0.6 | errAexp: 0.357771
Run_number: 3813 Nplus : 0 Nminus : 3 | Aexp: -1 | errAexp: 0
Run_number: 3815 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3822 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 3823 Nplus : 2 Nminus : 3 | Aexp: -0.2 | errAexp: 0.438178
Run_number: 3824 Nplus : 5 Nminus : 2 | Aexp: 0.428571 | errAexp: 0.341494
Run_number: 3825 Nplus : 6 Nminus : 3 | Aexp: 0.333333 | errAexp: 0.31427
Run_number: 3826 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 3827 Nplus : 6 Nminus : 4 | Aexp: 0.2 | errAexp: 0.309839
Run_number: 3828 Nplus : 6 Nminus : 4 | Aexp: 0.2 | errAexp: 0.309839
Run_number: 3829 Nplus : 2 Nminus : 3 | Aexp: -0.2 | errAexp: 0.438178
Run_number: 3830 Nplus : 2 Nminus : 8 | Aexp: -0.6 | errAexp: 0.252982
Run_number: 3832 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 3833 Nplus : 5 Nminus : 2 | Aexp: 0.428571 | errAexp: 0.341494
Run_number: 3835 Nplus : 5 Nminus : 3 | Aexp: 0.25 | errAexp: 0.342327
Run_number: 3836 Nplus : 3 Nminus : 2 | Aexp: 0.2 | errAexp: 0.438178
Run_number: 3837 Nplus : 7 Nminus : 1 | Aexp: 0.75 | errAexp: 0.233854
Run_number: 3838 Nplus : 2 Nminus : 3 | Aexp: -0.2 | errAexp: 0.438178
Run_number: 3839 Nplus : 7 Nminus : 3 | Aexp: 0.4 | errAexp: 0.289828
Run_number: 3840 Nplus : 9 Nminus : 1 | Aexp: 0.8 | errAexp: 0.189737
Run_number: 3841 Nplus : 6 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3842 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3843 Nplus : 2 Nminus : 2 | Aexp: 0 | errAexp: 0.5
Run_number: 3844 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 3846 Nplus : 2 Nminus : 4 | Aexp: -0.333333 | errAexp: 0.3849
Run_number: 3847 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 3848 Nplus : 6 Nminus : 3 | Aexp: 0.333333 | errAexp: 0.31427
Run_number: 3849 Nplus : 8 Nminus : 5 | Aexp: 0.230769 | errAexp: 0.269864
Run_number: 3850 Nplus : 5 Nminus : 5 | Aexp: 0 | errAexp: 0.316228
Run_number: 3851 Nplus : 5 Nminus : 6 | Aexp: -0.0909091 | errAexp: 0.300263
Run_number: 3852 Nplus : 4 Nminus : 7 | Aexp: -0.272727 | errAexp: 0.290081
Run_number: 3853 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 3854 Nplus : 2 Nminus : 5 | Aexp: -0.428571 | errAexp: 0.341494
Run_number: 3855 Nplus : 5 Nminus : 6 | Aexp: -0.0909091 | errAexp: 0.300263
Run_number: 3856 Nplus : 8 Nminus : 7 | Aexp: 0.0666667 | errAexp: 0.257624
Run_number: 3857 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 3858 Nplus : 2 Nminus : 4 | Aexp: -0.333333 | errAexp: 0.3849
Run_number: 3859 Nplus : 5 Nminus : 5 | Aexp: 0 | errAexp: 0.316228
Run_number: 3860 Nplus : 2 Nminus : 2 | Aexp: 0 | errAexp: 0.5
Run_number: 3861 Nplus : 3 Nminus : 2 | Aexp: 0.2 | errAexp: 0.438178
