Run_number: 5627 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5628 | Aexp: 0.714286 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5629 | Aexp: 0.125 | errAexp: 0.248039 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5630 | Aexp: 0.030303 | errAexp: 0.173998 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5632 | Aexp: -0.6 | errAexp: 0.206559 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5633 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5634 | Aexp: 0.0666667 | errAexp: 0.257624 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5654 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5655 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5659 | Aexp: 0.4 | errAexp: 0.289828 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5660 | Aexp: 0 | errAexp: 0.707107 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5661 | Aexp: -0.111111 | errAexp: 0.331269 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5663 | Aexp: 0.2 | errAexp: 0.219089 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5664 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5665 | Aexp: 0.294118 | errAexp: 0.231808 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5666 | Aexp: 0.2 | errAexp: 0.252982 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5667 | Aexp: -0.0588235 | errAexp: 0.242116 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5670 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5671 | Aexp: -0.538462 | errAexp: 0.233709 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5672 | Aexp: -0.538462 | errAexp: 0.233709 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5673 | Aexp: -0.111111 | errAexp: 0.234243 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5674 | Aexp: 0.166667 | errAexp: 0.284638 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5675 | Aexp: -0.6 | errAexp: 0.357771 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5676 | Aexp: 0.833333 | errAexp: 0.159571 | pol_He3: -1 | pol_beam: 80.795
