Run_number: 5044 | Ap_exp: -1 | errAexp: 0
Run_number: 5927 | Ap_exp: 0 | errAexp: 0.182574
Run_number: 5931 | Ap_exp: 0.129032 | errAexp: 0.125938
Run_number: 5932 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 5933 | Ap_exp: 0.0416667 | errAexp: 0.144212
Run_number: 5934 | Ap_exp: 0.125 | errAexp: 0.143205
Run_number: 5935 | Ap_exp: 0 | errAexp: 0.150756
Run_number: 5936 | Ap_exp: -0.030303 | errAexp: 0.173998
Run_number: 5937 | Ap_exp: 0.122807 | errAexp: 0.131451
Run_number: 5938 | Ap_exp: 0.15625 | errAexp: 0.123465
Run_number: 5939 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 5941 | Ap_exp: -0.0263158 | errAexp: 0.114668
Run_number: 5942 | Ap_exp: 0.12 | errAexp: 0.140399
Run_number: 5943 | Ap_exp: 0.0491803 | errAexp: 0.127882
Run_number: 5944 | Ap_exp: 0.176471 | errAexp: 0.168807
Run_number: 5945 | Ap_exp: 0.0175439 | errAexp: 0.132433
