Run_number: 3869 | Aexp: 0.0588235 | errAexp: 0.242116 | pol_He3: 53.3483 | pol_beam: 82.334
Run_number: 3878 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: 52.8508 | pol_beam: 82.334
Run_number: 3880 | Aexp: 0.125 | errAexp: 0.248039 | pol_He3: 52.557 | pol_beam: 82.334
Run_number: 3881 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: 52.2206 | pol_beam: 82.334
Run_number: 3882 | Aexp: 0.272727 | errAexp: 0.290081 | pol_He3: 51.8747 | pol_beam: 82.334
Run_number: 3883 | Aexp: -0.2 | errAexp: 0.252982 | pol_He3: 51.4767 | pol_beam: 82.334
Run_number: 3884 | Aexp: 0 | errAexp: 0.288675 | pol_He3: 51.1925 | pol_beam: 82.334
Run_number: 3885 | Aexp: 0.2 | errAexp: 0.309839 | pol_He3: 48.7429 | pol_beam: 82.334
Run_number: 3889 | Aexp: -0.272727 | errAexp: 0.290081 | pol_He3: 48.4633 | pol_beam: 82.334
Run_number: 3890 | Aexp: -0.181818 | errAexp: 0.209647 | pol_He3: 51.905 | pol_beam: 82.334
Run_number: 3923 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: 52.1289 | pol_beam: 82.334
Run_number: 3924 | Aexp: -1 | errAexp: 0 | pol_He3: 52.1995 | pol_beam: 82.334
Run_number: 3926 | Aexp: 0.166667 | errAexp: 0.201269 | pol_He3: 51.3741 | pol_beam: 82.334
Run_number: 3927 | Aexp: 0.846154 | errAexp: 0.147811 | pol_He3: 50.8401 | pol_beam: 82.334
Run_number: 3928 | Aexp: -0.230769 | errAexp: 0.269864 | pol_He3: 50.7502 | pol_beam: 82.334
Run_number: 3929 | Aexp: -0.0769231 | errAexp: 0.276528 | pol_He3: 50.6406 | pol_beam: 82.334
Run_number: 3930 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: 50.5196 | pol_beam: 82.334
Run_number: 3931 | Aexp: -0.230769 | errAexp: 0.269864 | pol_He3: 50.4184 | pol_beam: 82.334
Run_number: 3932 | Aexp: 0.142857 | errAexp: 0.21598 | pol_He3: 50.4642 | pol_beam: 82.334
Run_number: 3933 | Aexp: 0.176471 | errAexp: 0.238729 | pol_He3: 50.5045 | pol_beam: 82.334
Run_number: 3934 | Aexp: 0.714286 | errAexp: 0.26452 | pol_He3: 50.5475 | pol_beam: 82.334
Run_number: 3935 | Aexp: -0.5 | errAexp: 0.25 | pol_He3: 50.5759 | pol_beam: 82.334
Run_number: 3936 | Aexp: -0.157895 | errAexp: 0.226538 | pol_He3: 50.5433 | pol_beam: 82.334
Run_number: 3937 | Aexp: 0.2 | errAexp: 0.252982 | pol_He3: 50.5112 | pol_beam: 82.334
Run_number: 3938 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: 50.49 | pol_beam: 82.334
Run_number: 3939 | Aexp: -0.111111 | errAexp: 0.331269 | pol_He3: 50.4559 | pol_beam: 82.334
Run_number: 3940 | Aexp: -0.166667 | errAexp: 0.284638 | pol_He3: 50.4307 | pol_beam: 82.334
Run_number: 3941 | Aexp: 0.0909091 | errAexp: 0.212318 | pol_He3: 50.41 | pol_beam: 82.334
Run_number: 3942 | Aexp: 0.6 | errAexp: 0.357771 | pol_He3: 50.3839 | pol_beam: 82.334
Run_number: 3944 | Aexp: 0.111111 | errAexp: 0.331269 | pol_He3: 50.36 | pol_beam: 82.334
Run_number: 3945 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: 50.3516 | pol_beam: 82.334
Run_number: 3946 | Aexp: -0.333333 | errAexp: 0.243432 | pol_He3: 50.3296 | pol_beam: 82.334
Run_number: 3947 | Aexp: -0.454545 | errAexp: 0.268563 | pol_He3: 50.3073 | pol_beam: 82.334
Run_number: 3948 | Aexp: -0.285714 | errAexp: 0.25612 | pol_He3: 50.2702 | pol_beam: 82.334
Run_number: 3951 | Aexp: -1 | errAexp: 0 | pol_He3: 50.2682 | pol_beam: 82.334
Run_number: 3952 | Aexp: 0.0666667 | errAexp: 0.257624 | pol_He3: 50.2489 | pol_beam: 82.334
Run_number: 3954 | Aexp: 0.222222 | errAexp: 0.229809 | pol_He3: 50.2389 | pol_beam: 82.334
Run_number: 3955 | Aexp: 0.411765 | errAexp: 0.22102 | pol_He3: 50.3871 | pol_beam: 82.334
Run_number: 3956 | Aexp: -0.272727 | errAexp: 0.290081 | pol_He3: 50.5353 | pol_beam: 82.334
Run_number: 3957 | Aexp: 0.272727 | errAexp: 0.205119 | pol_He3: 50.8412 | pol_beam: 82.334
Run_number: 3959 | Aexp: -0.2 | errAexp: 0.252982 | pol_He3: 50.9989 | pol_beam: 82.334
Run_number: 3960 | Aexp: 0 | errAexp: 0.267261 | pol_He3: 51.1447 | pol_beam: 82.334
Run_number: 3961 | Aexp: 0.384615 | errAexp: 0.256015 | pol_He3: 51.2953 | pol_beam: 82.334
Run_number: 3962 | Aexp: 0 | errAexp: 0.5 | pol_He3: 51.3825 | pol_beam: 82.334
Run_number: 3963 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: 51.3315 | pol_beam: 82.334
Run_number: 3964 | Aexp: 0.176471 | errAexp: 0.238729 | pol_He3: 51.2926 | pol_beam: 82.334
Run_number: 3965 | Aexp: 1 | errAexp: 0 | pol_He3: 51.2738 | pol_beam: 82.334
