Run_number: 3960 | Ap_exp: -0.0869565 | errAexp: 0.146883
Run_number: 3961 | Ap_exp: 0.153846 | errAexp: 0.137024
Run_number: 3962 | Ap_exp: -0.130435 | errAexp: 0.206733
Run_number: 3963 | Ap_exp: -0.192982 | errAexp: 0.129963
Run_number: 3964 | Ap_exp: 0.134328 | errAexp: 0.121062
Run_number: 3965 | Ap_exp: 0.481481 | errAexp: 0.168674
Run_number: 3966 | Ap_exp: -0.125 | errAexp: 0.143205
Run_number: 3967 | Ap_exp: -0.225806 | errAexp: 0.174966
Run_number: 3968 | Ap_exp: -0.0434783 | errAexp: 0.147303
Run_number: 3970 | Ap_exp: -0.037037 | errAexp: 0.111035
Run_number: 3972 | Ap_exp: 0.225806 | errAexp: 0.12372
Run_number: 3973 | Ap_exp: 0.278689 | errAexp: 0.122964
Run_number: 3974 | Ap_exp: -0.121951 | errAexp: 0.155008
Run_number: 3975 | Ap_exp: -0.0967742 | errAexp: 0.126404
Run_number: 3976 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 3977 | Ap_exp: 0.322034 | errAexp: 0.123254
Run_number: 3978 | Ap_exp: -0.111111 | errAexp: 0.234243
Run_number: 3980 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 3981 | Ap_exp: 0.333333 | errAexp: 0.3849
Run_number: 3983 | Ap_exp: 0.0285714 | errAexp: 0.168962
Run_number: 3985 | Ap_exp: -0.176471 | errAexp: 0.168807
Run_number: 3986 | Ap_exp: -0.2 | errAexp: 0.165616
Run_number: 3996 | Ap_exp: 0.25 | errAexp: 0.153093
Run_number: 3998 | Ap_exp: -0.6 | errAexp: 0.357771
Run_number: 4023 | Ap_exp: -0.4 | errAexp: 0.289828
Run_number: 4024 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 4025 | Ap_exp: 0.125 | errAexp: 0.248039
Run_number: 4027 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 4028 | Ap_exp: 0.102041 | errAexp: 0.142111
Run_number: 4029 | Ap_exp: 0.0588235 | errAexp: 0.171202
Run_number: 4030 | Ap_exp: 0.151515 | errAexp: 0.172068
Run_number: 4031 | Ap_exp: -0.118644 | errAexp: 0.129269
Run_number: 4032 | Ap_exp: 0 | errAexp: 0.182574
Run_number: 4034 | Ap_exp: -0.25 | errAexp: 0.242061
Run_number: 4035 | Ap_exp: 0.116279 | errAexp: 0.151464
Run_number: 4036 | Ap_exp: 0.285714 | errAexp: 0.25612
Run_number: 4037 | Ap_exp: 0 | errAexp: 0.213201
Run_number: 4038 | Ap_exp: 0.3 | errAexp: 0.213307
Run_number: 4043 | Ap_exp: -0.0322581 | errAexp: 0.179512
Run_number: 4044 | Ap_exp: 0.157895 | errAexp: 0.160187
Run_number: 4046 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 4048 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 4051 | Ap_exp: -0.2 | errAexp: 0.121529
Run_number: 4052 | Ap_exp: -0.027027 | errAexp: 0.164339
Run_number: 4053 | Ap_exp: 0.0697674 | errAexp: 0.152127
Run_number: 4054 | Ap_exp: 0.192982 | errAexp: 0.129963
Run_number: 4055 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 4056 | Ap_exp: 0.047619 | errAexp: 0.21797
Run_number: 4057 | Ap_exp: 0.12 | errAexp: 0.198555
Run_number: 4058 | Ap_exp: 0.117647 | errAexp: 0.170308
Run_number: 4059 | Ap_exp: -0.0243902 | errAexp: 0.156127
Run_number: 4060 | Ap_exp: 0.0810811 | errAexp: 0.163858
Run_number: 4061 | Ap_exp: -0.0967742 | errAexp: 0.178762
Run_number: 4062 | Ap_exp: 0 | errAexp: 0.154303
Run_number: 4063 | Ap_exp: -0.481481 | errAexp: 0.168674
Run_number: 4064 | Ap_exp: 0.125 | errAexp: 0.17539
Run_number: 4065 | Ap_exp: -0.0769231 | errAexp: 0.195535
Run_number: 4066 | Ap_exp: 0.0434783 | errAexp: 0.208317
Run_number: 4067 | Ap_exp: 0.157895 | errAexp: 0.226538
Run_number: 4068 | Ap_exp: 0.030303 | errAexp: 0.123035
Run_number: 4069 | Ap_exp: 0 | errAexp: 0.235702
Run_number: 4070 | Ap_exp: 0.5 | errAexp: 0.433013
Run_number: 4071 | Ap_exp: 0.0196078 | errAexp: 0.140001
Run_number: 4072 | Ap_exp: -0.0985915 | errAexp: 0.1181
Run_number: 4073 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4074 | Ap_exp: -0.0847458 | errAexp: 0.129721
Run_number: 4075 | Ap_exp: -0.047619 | errAexp: 0.154128
Run_number: 4076 | Ap_exp: -0.15 | errAexp: 0.156325
Run_number: 4077 | Ap_exp: 0.157895 | errAexp: 0.113269
Run_number: 4078 | Ap_exp: 0.0140845 | errAexp: 0.118666
