Run_number: 5809 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 5810 | Ap_exp: 1 | errAexp: 0
Run_number: 5811 | Ap_exp: -nan | errAexp: -nan
Run_number: 5815 | Ap_exp: -nan | errAexp: -nan
Run_number: 5816 | Ap_exp: -nan | errAexp: -nan
Run_number: 5818 | Ap_exp: -1 | errAexp: 0
Run_number: 5819 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 5820 | Ap_exp: -nan | errAexp: -nan
Run_number: 5821 | Ap_exp: -nan | errAexp: -nan
Run_number: 5828 | Ap_exp: -nan | errAexp: -nan
Run_number: 5829 | Ap_exp: -nan | errAexp: -nan
Run_number: 5830 | Ap_exp: 1 | errAexp: 0
Run_number: 5831 | Ap_exp: -nan | errAexp: -nan
Run_number: 5832 | Ap_exp: -nan | errAexp: -nan
Run_number: 5837 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 5838 | Ap_exp: -nan | errAexp: -nan
Run_number: 5839 | Ap_exp: -nan | errAexp: -nan
Run_number: 5840 | Ap_exp: -1 | errAexp: 0
Run_number: 5841 | Ap_exp: -1 | errAexp: 0
Run_number: 5842 | Ap_exp: -nan | errAexp: -nan
Run_number: 5843 | Ap_exp: -nan | errAexp: -nan
Run_number: 5844 | Ap_exp: -nan | errAexp: -nan
Run_number: 5852 | Ap_exp: 1 | errAexp: 0
Run_number: 5854 | Ap_exp: 1 | errAexp: 0
Run_number: 5856 | Ap_exp: 0 | errAexp: 0.5
Run_number: 5858 | Ap_exp: -1 | errAexp: 0
Run_number: 5859 | Ap_exp: 1 | errAexp: 0
Run_number: 5860 | Ap_exp: -1 | errAexp: 0
