Run_number: 3177 | Aphy: 0.55568 | errAphy: 0.543033
Run_number: 3178 | Aphy: 0.345583 | errAphy: 0.557217
Run_number: 3179 | Aphy: 0.474641 | errAphy: 0.530962
Run_number: 3180 | Aphy: 0.797287 | errAphy: 0.527763
Run_number: 3181 | Aphy: 1.05495 | errAphy: 1.64616
Run_number: 3182 | Aphy: 0.946159 | errAphy: 0.521221
Run_number: 3183 | Aphy: 0.270498 | errAphy: 0.605253
Run_number: 3184 | Aphy: 0.703132 | errAphy: 0.605753
Run_number: 3185 | Aphy: 0.383742 | errAphy: 0.581589
Run_number: 3186 | Aphy: -0.403157 | errAphy: 0.711353
Run_number: 3188 | Aphy: 0.318541 | errAphy: 0.578251
Run_number: 3190 | Aphy: 1.07779 | errAphy: 0.471963
Run_number: 3191 | Aphy: 0.592788 | errAphy: 0.581151
Run_number: 3192 | Aphy: -0.981185 | errAphy: 0.547619
Run_number: 3193 | Aphy: 0.7582 | errAphy: 0.797817
Run_number: 3194 | Aphy: -0.343637 | errAphy: 0.495817
Run_number: 3195 | Aphy: 0.519051 | errAphy: 0.474128
Run_number: 3196 | Aphy: -0.00744497 | errAphy: 0.472733
Run_number: 3197 | Aphy: 0.605376 | errAphy: 0.533486
Run_number: 3198 | Aphy: 0.899973 | errAphy: 0.491004
Run_number: 3199 | Aphy: 0.208862 | errAphy: 0.475652
Run_number: 3200 | Aphy: 0.454947 | errAphy: 0.49194
Run_number: 3201 | Aphy: -0.184633 | errAphy: 0.484463
Run_number: 3202 | Aphy: 0.70341 | errAphy: 0.513204
Run_number: 3203 | Aphy: -0.236455 | errAphy: 1.09666
Run_number: 3204 | Aphy: 0.606077 | errAphy: 0.493868
Run_number: 3205 | Aphy: -0.0898582 | errAphy: 0.465429
Run_number: 3212 | Aphy: 0.870645 | errAphy: 1.49985
Run_number: 3213 | Aphy: 0.63266 | errAphy: 0.645388
Run_number: 3214 | Aphy: -0.564698 | errAphy: 0.853763
Run_number: 3215 | Aphy: 0.838273 | errAphy: 0.508187
Run_number: 3217 | Aphy: 0.673981 | errAphy: 0.506527
Run_number: 3218 | Aphy: -2.44371 | errAphy: 1.43929
Run_number: 3219 | Aphy: 0.855679 | errAphy: 0.513524
Run_number: 3220 | Aphy: -0.456389 | errAphy: 0.444034
Run_number: 3221 | Aphy: -0.125302 | errAphy: 0.78928
Run_number: 3222 | Aphy: 0.0520256 | errAphy: 0.395058
Run_number: 3223 | Aphy: -0.00746116 | errAphy: 0.466058
Run_number: 3224 | Aphy: 0.530086 | errAphy: 0.959768
Run_number: 3225 | Aphy: -0.394591 | errAphy: 0.471822
Run_number: 3226 | Aphy: -0.0457044 | errAphy: 0.446917
Run_number: 3227 | Aphy: -1.75238 | errAphy: 1.42467
Run_number: 3228 | Aphy: -0.00755924 | errAphy: 0.479989
Run_number: 3229 | Aphy: 0.135922 | errAphy: 0.498905
Run_number: 3230 | Aphy: 0.227937 | errAphy: 0.490827
Run_number: 3231 | Aphy: 0.651349 | errAphy: 0.720964
Run_number: 3239 | Aphy: 0.760976 | errAphy: 1.10183
Run_number: 3240 | Aphy: 0.524791 | errAphy: 0.568555
Run_number: 3241 | Aphy: 1.37386 | errAphy: 0.562852
Run_number: 3242 | Aphy: -0.686347 | errAphy: 0.578843
Run_number: 3243 | Aphy: 0.088669 | errAphy: 0.698639
Run_number: 3244 | Aphy: -0.00738345 | errAphy: 0.652239
Run_number: 3245 | Aphy: -1.00714 | errAphy: 0.573653
Run_number: 3246 | Aphy: 0.303408 | errAphy: 0.630035
Run_number: 3247 | Aphy: -0.0601894 | errAphy: 0.520217
Run_number: 3248 | Aphy: -1.24701 | errAphy: 0.610666
Run_number: 3249 | Aphy: -0.72791 | errAphy: 1.42798
