Run_number: 3075 | Aphy: 3.52181e-05 | errAphy: 0.000157604
Run_number: 3076 | Aphy: -0.000209375 | errAphy: 0.000136
Run_number: 3077 | Aphy: -5.68787e-05 | errAphy: 9.65096e-05
Run_number: 3079 | Aphy: -6.70361e-05 | errAphy: 0.000103967
Run_number: 3080 | Aphy: -0.000190086 | errAphy: 0.000169544
Run_number: 3082 | Aphy: 5.66063e-05 | errAphy: 6.4652e-05
Run_number: 3089 | Aphy: -1.7469e-05 | errAphy: 6.05237e-05
Run_number: 3090 | Aphy: -3.21599e-05 | errAphy: 7.22458e-05
Run_number: 3091 | Aphy: -1.56897e-05 | errAphy: 7.05613e-05
Run_number: 3092 | Aphy: -3.02449e-05 | errAphy: 6.32425e-05
Run_number: 3093 | Aphy: -1.85532e-05 | errAphy: 0.000116867
Run_number: 3108 | Aphy: -4.91482e-05 | errAphy: 9.58986e-05
Run_number: 3109 | Aphy: 3.02099e-05 | errAphy: 7.65763e-05
Run_number: 3110 | Aphy: 5.41965e-05 | errAphy: 8.21386e-05
Run_number: 3111 | Aphy: -0.000136495 | errAphy: 0.000138322
Run_number: 3112 | Aphy: -3.38582e-05 | errAphy: 7.68905e-05
Run_number: 3113 | Aphy: -1.16786e-05 | errAphy: 8.71849e-05
Run_number: 3114 | Aphy: 0.000149429 | errAphy: 7.29763e-05
Run_number: 3115 | Aphy: -6.96481e-05 | errAphy: 6.89907e-05
Run_number: 3116 | Aphy: 3.88287e-05 | errAphy: 8.31763e-05
Run_number: 3117 | Aphy: 8.32135e-05 | errAphy: 8.48876e-05
Run_number: 3118 | Aphy: -1.94074e-05 | errAphy: 8.01848e-05
Run_number: 3119 | Aphy: -1.1514e-05 | errAphy: 8.5956e-05
Run_number: 3120 | Aphy: -9.9355e-05 | errAphy: 8.2633e-05
Run_number: 3121 | Aphy: 0.000147752 | errAphy: 0.000105997
Run_number: 3122 | Aphy: 5.09059e-05 | errAphy: 7.81589e-05
Run_number: 3123 | Aphy: 1.40537e-05 | errAphy: 7.30483e-05
Run_number: 3124 | Aphy: 0.000224748 | errAphy: 9.77885e-05
Run_number: 3126 | Aphy: 0.00011956 | errAphy: 7.68443e-05
Run_number: 3127 | Aphy: -1.01323e-06 | errAphy: 0.000124588
Run_number: 3134 | Aphy: 6.03885e-05 | errAphy: 6.89718e-05
Run_number: 3135 | Aphy: 2.54323e-05 | errAphy: 6.80048e-05
Run_number: 3136 | Aphy: 8.11517e-05 | errAphy: 6.86641e-05
Run_number: 3138 | Aphy: 5.83726e-05 | errAphy: 8.24806e-05
Run_number: 3139 | Aphy: 6.17266e-05 | errAphy: 0.000146479
Run_number: 3140 | Aphy: 0.000228555 | errAphy: 0.000108209
Run_number: 3141 | Aphy: -7.56364e-05 | errAphy: 8.54667e-05
Run_number: 3149 | Aphy: -0.000232132 | errAphy: 0.000377443
Run_number: 3150 | Aphy: -0.000199197 | errAphy: 0.00017767
Run_number: 3151 | Aphy: 8.45282e-05 | errAphy: 9.15496e-05
Run_number: 3152 | Aphy: 5.87113e-05 | errAphy: 6.77359e-05
Run_number: 3158 | Aphy: -0.000192025 | errAphy: 0.000203173
Run_number: 3159 | Aphy: 2.43629e-05 | errAphy: 6.71189e-05
Run_number: 3160 | Aphy: 6.62869e-06 | errAphy: 7.37863e-05
Run_number: 3161 | Aphy: 4.00798e-05 | errAphy: 6.97471e-05
Run_number: 3162 | Aphy: 7.21514e-05 | errAphy: 7.20686e-05
Run_number: 3163 | Aphy: 8.25125e-05 | errAphy: 7.35338e-05
Run_number: 3164 | Aphy: -3.21847e-05 | errAphy: 6.67558e-05
Run_number: 3165 | Aphy: -5.87207e-05 | errAphy: 8.245e-05
Run_number: 3166 | Aphy: -0.000122318 | errAphy: 6.99422e-05
Run_number: 3167 | Aphy: 1.36316e-05 | errAphy: 7.17154e-05
Run_number: 3171 | Aphy: -0.000296194 | errAphy: 0.000103156
Run_number: 3174 | Aphy: 4.40444e-05 | errAphy: 7.26627e-05
Run_number: 3176 | Aphy: 6.07733e-05 | errAphy: 7.38087e-05
Run_number: 3177 | Aphy: 7.46165e-05 | errAphy: 7.29184e-05
Run_number: 3178 | Aphy: 4.64048e-05 | errAphy: 7.48229e-05
Run_number: 3179 | Aphy: 6.37347e-05 | errAphy: 7.12974e-05
Run_number: 3180 | Aphy: 0.00010706 | errAphy: 7.08679e-05
Run_number: 3181 | Aphy: 0.000141658 | errAphy: 0.000221045
Run_number: 3182 | Aphy: 0.00012705 | errAphy: 6.99895e-05
Run_number: 3183 | Aphy: 3.63224e-05 | errAphy: 8.12733e-05
Run_number: 3184 | Aphy: 9.44164e-05 | errAphy: 8.13403e-05
Run_number: 3185 | Aphy: 5.15288e-05 | errAphy: 7.80956e-05
Run_number: 3186 | Aphy: -5.41358e-05 | errAphy: 9.55202e-05
Run_number: 3188 | Aphy: 4.27737e-05 | errAphy: 7.76473e-05
Run_number: 3190 | Aphy: 0.000144725 | errAphy: 6.3375e-05
Run_number: 3191 | Aphy: 7.95995e-05 | errAphy: 7.80368e-05
Run_number: 3192 | Aphy: -0.000131753 | errAphy: 7.35342e-05
Run_number: 3193 | Aphy: 0.000101811 | errAphy: 0.000107131
Run_number: 3194 | Aphy: -4.61435e-05 | errAphy: 6.65782e-05
Run_number: 3195 | Aphy: 6.96981e-05 | errAphy: 6.36658e-05
Run_number: 3196 | Aphy: -9.99708e-07 | errAphy: 6.34785e-05
Run_number: 3197 | Aphy: 8.12897e-05 | errAphy: 7.16363e-05
Run_number: 3198 | Aphy: 0.000120848 | errAphy: 6.59319e-05
Run_number: 3199 | Aphy: 2.80459e-05 | errAphy: 6.38704e-05
Run_number: 3200 | Aphy: 6.10901e-05 | errAphy: 6.60576e-05
Run_number: 3201 | Aphy: -2.47924e-05 | errAphy: 6.50535e-05
Run_number: 3202 | Aphy: 9.44537e-05 | errAphy: 6.8913e-05
Run_number: 3203 | Aphy: -3.17511e-05 | errAphy: 0.000147259
Run_number: 3204 | Aphy: 8.13838e-05 | errAphy: 6.63165e-05
Run_number: 3205 | Aphy: -1.20661e-05 | errAphy: 6.24976e-05
Run_number: 3212 | Aphy: 0.00011691 | errAphy: 0.000201399
Run_number: 3213 | Aphy: 8.49535e-05 | errAphy: 8.66626e-05
Run_number: 3214 | Aphy: -7.58274e-05 | errAphy: 0.000114643
Run_number: 3215 | Aphy: 0.000112563 | errAphy: 6.82392e-05
Run_number: 3217 | Aphy: 9.0502e-05 | errAphy: 6.80163e-05
Run_number: 3218 | Aphy: -0.000328141 | errAphy: 0.000193267
Run_number: 3219 | Aphy: 0.0001149 | errAphy: 6.89559e-05
Run_number: 3220 | Aphy: -6.12838e-05 | errAphy: 5.96248e-05
Run_number: 3221 | Aphy: -1.68255e-05 | errAphy: 0.000105984
Run_number: 3222 | Aphy: 6.98598e-06 | errAphy: 5.30483e-05
Run_number: 3223 | Aphy: -1.00188e-06 | errAphy: 6.25821e-05
Run_number: 3224 | Aphy: 7.11797e-05 | errAphy: 0.000128877
Run_number: 3225 | Aphy: -5.29855e-05 | errAphy: 6.33561e-05
Run_number: 3226 | Aphy: -6.13717e-06 | errAphy: 6.00119e-05
Run_number: 3227 | Aphy: -0.000235308 | errAphy: 0.000191304
Run_number: 3228 | Aphy: -1.01505e-06 | errAphy: 6.44528e-05
Run_number: 3229 | Aphy: 1.82516e-05 | errAphy: 6.69929e-05
Run_number: 3230 | Aphy: 3.06073e-05 | errAphy: 6.59081e-05
Run_number: 3231 | Aphy: 8.7463e-05 | errAphy: 9.68109e-05
Run_number: 3239 | Aphy: 0.000102184 | errAphy: 0.000147954
Run_number: 3240 | Aphy: 7.04688e-05 | errAphy: 7.63455e-05
Run_number: 3241 | Aphy: 0.000184481 | errAphy: 7.55796e-05
Run_number: 3242 | Aphy: -9.21624e-05 | errAphy: 7.77268e-05
Run_number: 3243 | Aphy: 1.19065e-05 | errAphy: 9.38131e-05
Run_number: 3244 | Aphy: -9.91447e-07 | errAphy: 8.75825e-05
Run_number: 3245 | Aphy: -0.000135239 | errAphy: 7.703e-05
Run_number: 3246 | Aphy: 4.07415e-05 | errAphy: 8.46009e-05
Run_number: 3247 | Aphy: -8.08222e-06 | errAphy: 6.98547e-05
Run_number: 3248 | Aphy: -0.000167448 | errAphy: 8.2e-05
Run_number: 3249 | Aphy: -9.77436e-05 | errAphy: 0.000191748
