Run_number: 4091 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 4092 | Ap_exp: 0.4 | errAexp: 0.289828
Run_number: 4093 | Ap_exp: -1 | errAexp: 0
Run_number: 4094 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4095 | Ap_exp: -0.294118 | errAexp: 0.231808
Run_number: 4096 | Ap_exp: 0.2 | errAexp: 0.309839
Run_number: 4097 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4098 | Ap_exp: 0.0588235 | errAexp: 0.242116
Run_number: 4099 | Ap_exp: 0.142857 | errAexp: 0.167297
Run_number: 4100 | Ap_exp: -0.0810811 | errAexp: 0.163858
Run_number: 4101 | Ap_exp: -0.04 | errAexp: 0.19984
Run_number: 4102 | Ap_exp: -0.5 | errAexp: 0.193649
Run_number: 4103 | Ap_exp: -0.428571 | errAexp: 0.241473
Run_number: 4104 | Ap_exp: 0.105263 | errAexp: 0.16132
Run_number: 4105 | Ap_exp: 0.15 | errAexp: 0.156325
Run_number: 4106 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 4107 | Ap_exp: -0.285714 | errAexp: 0.25612
Run_number: 4114 | Ap_exp: 0.214286 | errAexp: 0.184592
Run_number: 4115 | Ap_exp: 0.0344828 | errAexp: 0.185585
Run_number: 4116 | Ap_exp: 0.5 | errAexp: 0.306186
Run_number: 4117 | Ap_exp: -0.0416667 | errAexp: 0.144212
Run_number: 4118 | Ap_exp: -0.130435 | errAexp: 0.206733
Run_number: 4119 | Ap_exp: 0.0625 | errAexp: 0.176431
Run_number: 4120 | Ap_exp: 0.142857 | errAexp: 0.13226
Run_number: 4121 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 4122 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4155 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 4156 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 4159 | Ap_exp: -1 | errAexp: 0
Run_number: 4160 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 4164 | Ap_exp: 0.555556 | errAexp: 0.27716
Run_number: 4165 | Ap_exp: -0.2 | errAexp: 0.252982
Run_number: 4167 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 4168 | Ap_exp: 0.166667 | errAexp: 0.284638
Run_number: 4169 | Ap_exp: 0.428571 | errAexp: 0.341494
Run_number: 4170 | Ap_exp: -0.333333 | errAexp: 0.31427
Run_number: 4171 | Ap_exp: -0.454545 | errAexp: 0.268563
Run_number: 4172 | Ap_exp: 0.5 | errAexp: 0.25
Run_number: 4173 | Ap_exp: 0 | errAexp: 0.25
Run_number: 4174 | Ap_exp: 1 | errAexp: 0
Run_number: 4175 | Ap_exp: 0.333333 | errAexp: 0.272166
Run_number: 4176 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 4178 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 4179 | Ap_exp: 0.529412 | errAexp: 0.205759
Run_number: 4180 | Ap_exp: -0.238095 | errAexp: 0.211942
Run_number: 4181 | Ap_exp: 0.166667 | errAexp: 0.284638
Run_number: 4182 | Ap_exp: 0.1 | errAexp: 0.222486
Run_number: 4186 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 4187 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 4188 | Ap_exp: 0 | errAexp: 0.25
Run_number: 4190 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 4192 | Ap_exp: -nan | errAexp: -nan
Run_number: 4194 | Ap_exp: -0.363636 | errAexp: 0.198605
Run_number: 4195 | Ap_exp: 0 | errAexp: 0.182574
Run_number: 4196 | Ap_exp: 0.235294 | errAexp: 0.166684
Run_number: 4197 | Ap_exp: 0.0232558 | errAexp: 0.152457
Run_number: 4198 | Ap_exp: -0.0985915 | errAexp: 0.1181
Run_number: 4199 | Ap_exp: -0.227273 | errAexp: 0.146811
Run_number: 4200 | Ap_exp: -0.290323 | errAexp: 0.171869
Run_number: 4201 | Ap_exp: 0.0188679 | errAexp: 0.137336
Run_number: 4202 | Ap_exp: -1 | errAexp: 0
Run_number: 4203 | Ap_exp: 0.04 | errAexp: 0.141308
Run_number: 4204 | Ap_exp: 0.294118 | errAexp: 0.231808
Run_number: 4214 | Ap_exp: 0.133333 | errAexp: 0.180944
Run_number: 4215 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 4216 | Ap_exp: -0.714286 | errAexp: 0.26452
Run_number: 4217 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4218 | Ap_exp: 0 | errAexp: 0.5
Run_number: 4219 | Ap_exp: -0.181818 | errAexp: 0.209647
Run_number: 4220 | Ap_exp: 0.25 | errAexp: 0.153093
Run_number: 4223 | Ap_exp: -0.3125 | errAexp: 0.167923
Run_number: 4224 | Ap_exp: 0.333333 | errAexp: 0.15097
Run_number: 4230 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 4231 | Ap_exp: 0.193548 | errAexp: 0.124599
Run_number: 4233 | Ap_exp: 0.0666667 | errAexp: 0.14874
Run_number: 4234 | Ap_exp: 0 | errAexp: 0.25
Run_number: 4236 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 4251 | Ap_exp: 0.194444 | errAexp: 0.115602
Run_number: 4252 | Ap_exp: 0.0163934 | errAexp: 0.12802
Run_number: 4253 | Ap_exp: -0.3 | errAexp: 0.150831
Run_number: 4254 | Ap_exp: -0.264706 | errAexp: 0.116942
Run_number: 4256 | Ap_exp: 0.0857143 | errAexp: 0.119083
Run_number: 4257 | Ap_exp: 0.173913 | errAexp: 0.145195
Run_number: 4258 | Ap_exp: -0.125 | errAexp: 0.17539
Run_number: 4260 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4261 | Ap_exp: -0.16129 | errAexp: 0.177254
Run_number: 4262 | Ap_exp: 0.333333 | errAexp: 0.205738
Run_number: 4263 | Ap_exp: -0.08 | errAexp: 0.140968
Run_number: 4264 | Ap_exp: 0.0769231 | errAexp: 0.276528
Run_number: 4265 | Ap_exp: -0.212121 | errAexp: 0.12029
Run_number: 4266 | Ap_exp: -0.0434783 | errAexp: 0.208317
Run_number: 4273 | Ap_exp: -0.0833333 | errAexp: 0.203414
Run_number: 4274 | Ap_exp: -0.0545455 | errAexp: 0.134639
Run_number: 4275 | Ap_exp: 0.189189 | errAexp: 0.16143
Run_number: 4284 | Ap_exp: 0.0833333 | errAexp: 0.203414
Run_number: 4285 | Ap_exp: 0.0333333 | errAexp: 0.129028
Run_number: 4286 | Ap_exp: -0.1 | errAexp: 0.157321
Run_number: 4288 | Ap_exp: -0.25 | errAexp: 0.242061
Run_number: 4289 | Ap_exp: 0.125 | errAexp: 0.143205
Run_number: 4290 | Ap_exp: 0.125 | errAexp: 0.17539
Run_number: 4292 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 4293 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 4294 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 4297 | Ap_exp: -0.0566038 | errAexp: 0.13714
Run_number: 4298 | Ap_exp: 0.241379 | errAexp: 0.180204
Run_number: 4299 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 4300 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 4302 | Ap_exp: 1 | errAexp: 0
Run_number: 4303 | Ap_exp: 0.0285714 | errAexp: 0.168962
Run_number: 4304 | Ap_exp: 0 | errAexp: 0.171499
Run_number: 4305 | Ap_exp: 0.111111 | errAexp: 0.191258
Run_number: 4307 | Ap_exp: 0.136364 | errAexp: 0.149347
Run_number: 4308 | Ap_exp: 0.0322581 | errAexp: 0.179512
Run_number: 4309 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 4310 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 4311 | Ap_exp: 0.333333 | errAexp: 0.181444
Run_number: 4315 | Ap_exp: 0.2 | errAexp: 0.178885
