dataset,panel,paper,Q2,value,stat_err,sys_err,total_err
global_fit_ye,ratio,Ye,0.15849,0.0636821692927449,,0.004368455748038691,0.004368455748038691
global_fit_ye,ratio,Ye,0.16032,0.06429445212479207,,0.004368916466225106,0.004368916466225106
global_fit_ye,ratio,Ye,0.16218,0.06491156667318466,,0.004369205434699042,0.004369205434699042
global_fit_ye,ratio,Ye,0.16406,0.06553353714148882,,0.004369328629685923,0.004369328629685923
global_fit_ye,ratio,Ye,0.16596,0.0661603838174542,,0.004369297624040895,0.004369297624040895
global_fit_ye,ratio,Ye,0.16788,0.06679212682560859,,0.004369120923194675,0.004369120923194675
global_fit_ye,ratio,Ye,0.16982,0.06742877915853215,,0.004368807593139106,0.004368807593139106
global_fit_ye,ratio,Ye,0.17179,0.06807038437816797,,0.00436836571382346,0.00436836571382346
global_fit_ye,ratio,Ye,0.17378,0.06871693394346648,,0.004367805391290027,0.004367805391290027
global_fit_ye,ratio,Ye,0.17579,0.06936847137216032,,0.0043671360597375645,0.0043671360597375645
global_fit_ye,ratio,Ye,0.17783,0.07002500436987624,,0.004366365921344488,0.004366365921344488
global_fit_ye,ratio,Ye,0.17989,0.0706865615583044,,0.004365505567354019,0.004365505567354019
global_fit_ye,ratio,Ye,0.18197,0.07135315071495629,,0.0043645625008477155,0.0043645625008477155
global_fit_ye,ratio,Ye,0.18408,0.07202481042115355,,0.004363548360241298,0.004363548360241298
global_fit_ye,ratio,Ye,0.18621,0.07270154339563563,,0.004362469745355614,0.004362469745355614
global_fit_ye,ratio,Ye,0.18836,0.07338338467232042,,0.004361337718519673,0.004361337718519673
global_fit_ye,ratio,Ye,0.19055,0.07407034374796406,,0.004360161395085959,0.004360161395085959
global_fit_ye,ratio,Ye,0.19275,0.074762437363844,,0.004358949328838376,0.004358949328838376
global_fit_ye,ratio,Ye,0.19498,0.0754596974547869,,0.0043577102063835195,0.0043577102063835195
global_fit_ye,ratio,Ye,0.19724,0.07616213500936587,,0.004356454495099637,0.004356454495099637
global_fit_ye,ratio,Ye,0.19953,0.0768697709471961,,0.0043551898524276916,0.0043551898524276916
global_fit_ye,ratio,Ye,0.20184,0.07758263109073142,,0.004353926876701244,0.004353926876701244
